subject,comparison,seed,passed,p_window,p_epoch,D,silhouette_coef,silh_thresh,acc,p_perm,hotelling_T2,F
1,right,11,True,0.004032400630287139,0.10864567716141926,1.8287162426380248,0.124636814,0.02102751722559332,0.8163398692810458,0.0,177.19463787514132,14.213473626348234
1,ctrl,11,False,1.0,1.0,1.5247164349618094,0.035823803,0.035866078361868836,0.5027777777777778,0.445,58.85459808768428,4.012813505978474
2,left,11,True,0.502156551277256,0.5639234907191044,1.6597039249843912,0.09304818,0.011811380134895437,0.8428571428571429,0.0,314.15137019752456,26.504595654336605
2,right,11,False,0.8720909295607542,0.781924352415865,1.347473871235519,0.049881164,0.015044924290850742,0.7374193548387097,0.0,126.23044626965219,10.715528551487633
2,ctrl,11,False,0.3987717622321215,0.7103816512796233,0.930628356331417,-0.0076625687,0.02897305618971578,0.4666666666666666,0.682,24.66884978884497,1.987779218522632
3,left,11,True,7.152817514931294e-06,0.018352094207934995,1.6462164292365273,0.13253613,0.00910631455481052,0.8281639928698752,0.0,353.8786193642451,30.23278456781064
3,right,11,True,0.2122330232983554,0.5913987097246924,1.5858460314544074,0.04904633,0.011942087719216935,0.8484848484848484,0.0,278.34996606033127,23.75211645690501
3,ctrl,11,False,0.03340265549104669,0.04647993597471809,0.9629974410473968,0.061309915,0.020580420363694417,0.6266666666666666,0.002,45.059478631012155,3.819538114913807
4,left,11,True,0.00016236994703635167,0.06984870998949957,1.6373610174478517,0.108058326,0.009724335931241508,0.881904761904762,0.0,361.56675003161195,30.99143571699531
4,right,11,True,0.00032073720780006175,0.03788721289528348,1.6740779077994727,0.12422358,0.010306249698624006,0.8388888888888889,0.0,424.467479470876,36.42009016910479
4,ctrl,11,False,0.7645531885597079,0.7924942425907314,0.7093565321086458,0.0010363314,0.016336235124617814,0.5555555555555556,0.121,25.777760907658696,2.211779281147426
0,left,12,True,1.4379015146406222e-10,0.0013611884782963137,1.678638128351762,0.23266713,0.011687848903238748,0.8890756302521007,0.0,410.5257188417483,35.11220510803549
