seed,test_idx,hbr_multiplier,hbr_shift,window_length,add_hbr,accuracy
43,1,3,1,20,True,0.6565295169946332
43,1,3,1,20,False,0.6588295425504728
43,1,3,1,30,True,0.7137525122021247
43,1,3,1,30,False,0.6761412575366064
43,1,3,2,15,True,0.5542635658914729
43,1,3,2,15,False,0.6414728682170543
43,1,3,2,20,True,0.6092512139023767
43,1,3,2,20,False,0.6220291336570406
43,1,3,2,30,True,0.6930806775768016
43,1,3,2,30,False,0.6804478897502153
43,1,3,3,15,True,0.6262112403100775
43,1,3,3,15,False,0.6036821705426356
43,1,3,3,20,True,0.6549961666240736
43,1,3,3,20,False,0.6664962944032712
43,1,3,3,30,True,0.6563307493540051
43,1,3,3,30,False,0.6063738156761412
43,1,5,0,15,True,0.6005329457364341
43,1,5,0,15,False,0.6201550387596899
43,1,5,0,20,True,0.645284947610529
43,1,5,0,20,False,0.654485049833887
43,1,5,0,30,True,0.7103072064312375
43,1,5,0,30,False,0.7071490094745909
43,1,5,1,15,True,0.5772771317829457
43,1,5,1,15,False,0.594718992248062
43,1,5,1,20,True,0.6565295169946332
43,1,5,1,20,False,0.6488627651418349
43,1,5,1,30,True,0.7137525122021247
43,1,5,1,30,False,0.6660924490381854
43,1,5,2,15,True,0.5542635658914729
43,1,5,2,15,False,0.6211240310077519
43,1,5,2,20,True,0.6092512139023767
43,1,5,2,20,False,0.6818297981088679
43,1,5,2,30,True,0.6930806775768016
43,1,5,2,30,False,0.6488659201837497
43,1,5,3,15,True,0.6262112403100775
43,1,5,3,15,False,0.5736434108527132
43,1,5,3,20,True,0.6549961666240736
43,1,5,3,20,False,0.6465627395859954
43,1,5,3,30,True,0.6563307493540051
43,1,5,3,30,False,0.6660924490381854
43,2,1,0,15,True,0.5032376126126126
43,2,1,0,15,False,0.5292792792792793
43,2,1,0,20,True,0.5331155331155332
43,2,1,0,20,False,0.5546480546480547
43,2,1,0,30,True,0.5527193860527194
43,2,1,0,30,False,0.5720720720720721
43,2,1,1,15,True,0.4970439189189189
43,2,1,1,15,False,0.509009009009009
43,2,1,1,20,True,0.5166320166320166
43,2,1,1,20,False,0.5019305019305019
43,2,1,1,30,True,0.5453787120453787
43,2,1,1,30,False,0.5415415415415415
43,2,1,2,15,True,0.5208333333333334
43,2,1,2,15,False,0.502956081081081
